Delta_1,Delta_2,m1,m2,e_vumps,dqpt,times
0.5,-0.9,0.2,0.1,-0.39008401283,0,[]
0.5,0.9,0.2,0.1,-0.222778222188,0,[]
-0.5,-0.9,0.3,0.1,-0.448618571045,0,[]
-0.5,0.9,0.3,0.1,-0.19126369022,0,[]
0.5,-0.9,0.3,0.1,-0.363796206159,0,[]
0.5,0.9,0.3,0.1,-0.221599189431,0,[]
-0.5,-0.9,0.4,0.1,-0.429778184657,0,[]
-0.5,0.9,0.4,0.1,-0.203176068403,0,[]
0.5,-0.9,0.4,0.1,-0.33936302128,0,[]
0.5,0.9,0.4,0.1,-0.218040432582,0,[]
-0.5,-0.9,0.5,0.1,-0.40865513711,0,[]
-0.5,0.9,0.5,0.1,-0.210984381913,0,[]
0.5,-0.9,0.5,0.1,-0.31723627517,0,[]
0.5,0.9,0.5,0.1,-0.213161946659,0,[]
-0.5,-0.9,0.6,0.1,-0.386656415865,0,[]
-0.5,0.9,0.6,0.1,-0.215052250159,0,[]
0.5,-0.9,0.6,0.1,-0.297407627031,1,"[4.87,5.44,7.70,8.31,8.49]"
0.5,0.9,0.6,0.1,-0.207589311993,0,[]
-0.5,-0.9,0.7,0.1,-0.364767372359,0,[]
-0.5,0.9,0.7,0.1,-0.2160869334,0,[]
0.5,-0.9,0.7,0.1,-0.27971045851,1,"[4.60,5.73,7.65,8.37,8.44,8.64]"
0.5,0.9,0.7,0.1,-0.201711833553,0,[]
-0.5,-0.9,0.8,0.1,-0.343647253276,0,[]
-0.5,0.9,0.8,0.1,-0.2148243552,0,[]
0.5,-0.9,0.8,0.1,-0.263928836247,1,"[4.55,5.87,7.64,8.37,8.68,8.72,8.78]"
0.5,0.9,0.8,0.1,-0.19577488143,0,[]
-0.5,-0.9,0.9,0.1,-0.323704155798,0,[]
-0.5,0.9,0.9,0.1,-0.211914584277,0,[]
0.5,-0.9,0.9,0.1,-0.249841921603,1,"[4.58,5.97,7.68,8.34,8.57,8.68,8.78,8.89]"
0.5,0.9,0.9,0.1,-0.189931617629,0,[]
-0.5,0.9,0.0,0.1,-0.15082225278,1,[4.35]
-0.5,-0.9,1.1,0.1,-0.288090130926,1,"[4.63,5.62,7.67,8.27,8.37,8.56]"
-0.5,0.9,1.1,0.1,-0.203160356903,0,[]
0.5,-0.9,1.1,0.1,-0.225943788805,1,"[4.85,6.10,7.80,8.13,8.85,8.88,9.02,9.09]"
0.5,0.9,1.1,0.1,-0.178857770376,0,[]
-0.5,-0.9,1.2,0.1,-0.272494869348,1,"[4.57,5.79,7.67,8.28,8.51,8.69]"
-0.5,0.9,1.2,0.1,-0.198037574638,0,[]
0.5,-0.9,1.2,0.1,-0.215781383068,1,"[5.02,6.14,7.91,8.06,8.85,8.91,9.05,9.14]"
0.5,0.9,1.2,0.1,-0.173707342377,0,[]
-0.5,-0.9,1.3,0.1,-0.258306658416,1,"[4.58,5.90,7.70,8.33,8.37,8.71,8.83]"
-0.5,0.9,1.3,0.1,-0.192743616697,0,[]
0.5,-0.9,1.3,0.1,-0.206612057821,1,"[5.17,6.18,8.93,8.97,9.04,9.27]"
0.5,0.9,1.3,0.1,-0.168833671695,0,[]
-0.5,-0.9,1.4,0.1,-0.24542898018,1,"[4.65,5.98,7.75,8.24,8.58,8.65,8.82,8.92]"
-0.5,0.9,1.4,0.1,-0.187434455205,0,[]
0.5,-0.9,1.4,0.1,-0.198312014217,1,"[5.29,6.22,8.97,8.99,9.03,9.28]"
0.5,0.9,1.4,0.1,-0.16423599849,0,[]
-0.5,-0.9,1.5,0.1,-0.233750950987,1,"[4.77,6.05,7.81,8.13,8.71,8.84,8.99]"
-0.5,0.9,1.5,0.1,-0.182215413453,0,[]
0.5,-0.9,1.5,0.1,-0.190774580734,1,"[5.39,6.24,9.02,9.03,9.37]"
0.5,0.9,1.5,0.1,-0.159906825451,0,[]
-0.5,-0.9,1.0,0.1,-0.305157263769,1,"[4.88,5.26,7.72,8.21,8.42]"
-0.5,0.9,1.0,0.1,-0.207888926821,0,[]
0.5,-0.9,1.0,0.1,-0.237242466655,1,"[4.68,6.04,7.72,8.24,8.74,8.84,9.00]"
0.5,0.9,1.0,0.1,-0.184274875148,0,[]
-0.6,0.5,0.5,0.5,-0.348364786841,0,[]
-0.6,-0.6,0.0,0.5,-0.417642826573,1,[8.33]
0.6,0.6,0.0,0.5,-0.237723820223,1,"[5.22,8.83]"
-0.6,-0.9,0.1,0.1,-0.474273082137,0,[]
-0.6,0.9,0.1,0.1,-0.148002260224,1,[4.29]
0.6,-0.9,0.1,0.1,-0.40806567201,0,[]
0.6,0.9,0.1,0.1,-0.221437061202,0,[]
-0.6,-0.9,0.2,0.1,-0.468296952881,0,[]
-0.6,0.9,0.2,0.1,-0.162841125143,0,[]
0.6,-0.9,0.2,0.1,-0.380694254352,0,[]
0.6,0.9,0.2,0.1,-0.223186163921,0,[]
-0.6,-0.9,0.3,0.1,-0.455597743578,0,[]
-0.6,0.9,0.3,0.1,-0.180337752174,0,[]
0.6,-0.9,0.3,0.1,-0.3542335651,0,[]
0.6,0.9,0.3,0.1,-0.220828108581,0,[]
-0.6,-0.9,0.4,0.1,-0.438076651273,0,[]
-0.6,0.9,0.4,0.1,-0.19537433698,0,[]
0.6,-0.9,0.4,0.1,-0.330153304821,0,[]
0.6,0.9,0.4,0.1,-0.216464194816,0,[]
-0.6,-0.9,0.5,0.1,-0.417716806403,0,[]
-0.6,0.9,0.5,0.1,-0.206025828537,0,[]
0.6,-0.9,0.5,0.1,-0.308619630534,1,"[7.79,8.22,8.31]"
0.6,0.9,0.5,0.1,-0.21107235271,0,[]
-0.6,-0.9,0.6,0.1,-0.396049633346,0,[]
-0.6,0.9,0.6,0.1,-0.212346190849,0,[]
0.6,-0.9,0.6,0.1,-0.289473706517,1,"[4.72,5.60,7.67,8.37,8.56]"
0.6,0.9,0.6,0.1,-0.205199029504,0,[]
-0.6,-0.9,0.7,0.1,-0.374162152945,0,[]
-0.6,0.9,0.7,0.1,-0.215070318667,0,[]
0.6,0.9,0.7,0.1,-0.199170264213,0,[]
-0.6,-0.9,0.8,0.1,-0.352797664519,0,[]
-0.6,0.9,0.8,0.1,-0.215036532828,0,[]
0.6,-0.9,0.8,0.1,-0.257351197931,1,"[4.55,5.93,7.65,8.39,8.41,8.65,8.76,8.88]"
0.6,0.9,0.8,0.1,-0.193184094,0,[]
-0.6,-0.9,0.9,0.1,-0.332438638443,0,[]
-0.6,0.9,0.9,0.1,-0.212994890783,0,[]
